Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
1980-09-02,0.2041204571723938,0.20412045717239377,0.2013745098207789,0.2022896964413423,2934628
1980-09-03,0.22151169180870056,0.22151169180870056,0.2059510143292171,0.2059510143292171,6086271
1980-09-04,0.21693511307239532,0.22517312400389045,0.21235840684590576,0.22151179777167557,4199724
1980-09-05,0.21418924629688263,0.21785057425540352,0.2123585069723541,0.21693521535674898,3144245
1980-09-08,0.2123584747314453,0.21785054118067254,0.2123584747314453,0.2141892137780255,3043136
1980-09-09,0.21693511307239532,0.21693511307239532,0.2105278190750309,0.21235840684590576,3417979
1980-09-10,0.2187657654285431,0.21968097284492188,0.2141890610034232,0.21693502768777295,2221933
1980-09-11,0.22059626877307892,0.22334238510581353,0.21785030313069295,0.21876568241733538,3178770
1980-09-12,0.22059626877307892,0.22151162653252868,0.21876568241733538,0.2205962687730789,3353861
1980-09-15,0.2187657654285431,0.22059635247890735,0.21693502768777295,0.22059635247890735,2636233
1980-09-16,0.21418924629688263,0.21876595468127755,0.21418924629688266,0.21876595468127755,2633767
1980-09-17,0.21693511307239532,0.2178504715394607,0.2141891453072458,0.2141891453072458,4253978
1980-09-18,0.21144303679466248,0.21785048178379982,0.21052782897502498,0.21693512327369005,3965447
1980-09-19,0.21693511307239532,0.22242717776595025,0.20961246060796554,0.2114430268516311,5642378
1980-09-22,0.2242576777935028,0.2242576777935028,0.21418906150338213,0.2169350281941415,3484563
1980-09-23,0.2196810096502304,0.22425771484213047,0.21785042229316992,0.22425771484213047,2581980
1980-09-24,0.2178504914045334,0.21876587148227858,0.21601975277625432,0.21876587148227858,2044376
1980-09-25,0.2105279117822647,0.21601982820375293,0.20961255291211556,0.21601982820375293,2263856
1980-09-26,0.2068662792444229,0.20869703886675428,0.2013743878671189,0.20869703886675428,4276173
1980-09-29,0.2004590630531311,0.2050357696197621,0.2004590630531311,0.2050357696197621,2278653
1980-09-30,0.20228958129882812,0.20412034098781767,0.20045901535469066,0.20045901535469066,3099855
1980-10-01,0.1977129876613617,0.2041202564288421,0.1958822287307834,0.2022894974982638,4340291
1980-10-02,0.19588227570056915,0.19862822101010344,0.19405151633100076,0.19771303507013752,4078887
1980-10-03,0.20228958129882812,0.20503572083231245,0.19496693003257407,0.19588230987706884,2591844
1980-10-06,0.2105279117822647,0.21144311996188234,0.20412046427287703,0.20412046427287703,2066570
1980-10-07,0.2050357311964035,0.21144300294203583,0.2050357311964035,0.21052779526892568,3077661
1980-10-08,0.20778168737888336,0.208697067314827,0.20503574131592386,0.20503574131592386,2315644
1980-10-09,0.2050357311964035,0.20778167712383708,0.20412035130563835,0.20778167712383708,2843384
1980-10-10,0.2041204571723938,0.20503583753791954,0.20320507680686803,0.20503583753791954,1903809
