Trade Date,High/Low Price (%),High/Low Yield (%),Trade Count,Total Trade Amount ($)
04/06/2020,81 / 80.875,-,4,20000000
03/25/2020,80.25 / 80,-,5,46000000
01/22/2020,89 / 89,-,1,60000
12/26/2019,79.2 / 78.044,-,7,47328
11/26/2019,89 / 89,-,1,2000000
11/13/2019,88.875 / 88.5,-,3,4000000
11/12/2019,73 / 73,-,1,16320
11/08/2019,72.5 / 70.5,-,8,48960
10/22/2019,87.625 / 87.375,-,3,30000000
10/16/2019,75 / 70.79,-,11,18360
09/27/2019,80 / 80,-,1,14688
09/26/2019,79.888 / 78.887,-,5,44064
09/09/2019,75.35 / 75.15,-,2,4080
08/22/2019,85.5 / 75,-,2,2000
07/01/2019,71.2 / 71.07,-,4,29376
06/05/2019,71.875 / 70.875,-,3,2448
05/31/2019,87.375 / 86.5,-,2,40000000
05/17/2019,71.25 / 70.375,-,4,6120
04/24/2019,87.25 / 87,-,3,10000000
03/14/2019,86 / 86,-,1,500000
12/18/2018,85 / 85,-,1,500000
12/07/2018,86 / 85.875,-,2,10000000
11/20/2018,86 / 84.5,-,2,5026928
11/13/2018,74.75 / 74.75,-,1,2448
11/08/2018,74.666 / 70.623,-,7,9792
11/07/2018,85.25 / 85.15,-,2,1500000
11/06/2018,85 / 84.75,-,3,9000000
10/11/2018,83 / 83,-,2,1000000
10/05/2018,68.5 / 68.5,-,1,2040
10/04/2018,68.35 / 68.1,-,3,4080
09/28/2018,85 / 84.5,-,3,4000000
09/18/2018,68.5 / 68.5,-,1,1632
09/17/2018,68.333 / 68.079,-,4,4488
09/06/2018,68.333 / 66.333,-,5,3672
08/10/2018,84.625 / 83.5,-,4,32001000
07/26/2018,84.375 / 84,-,4,65000000
07/05/2018,83.675 / 83.25,-,10,21000000
06/29/2018,82.75 / 82.25,-,4,11650000
06/28/2018,82.25 / 81.75,-,3,18000000
06/27/2018,82 / 81.5,-,5,13000000
06/26/2018,81.125 / 81,-,4,31000000
06/11/2018,79.75 / 79.5,-,2,40000000
06/04/2018,79.625 / 79.25,-,2,2350000
05/16/2018,62.875 / 62.875,-,1,4080
05/15/2018,62.5 / 60,-,5,12240
04/24/2018,78.75 / 78.25,-,3,19983720
03/08/2018,62.375 / 59.967,-,6,9792
03/02/2018,79 / 78.75,-,2,7500000
02/28/2018,70.55 / 68.099,-,3,1224
02/23/2018,80.125 / 79.9,-,5,48000000
02/14/2018,80.75 / 80.75,-,1,3000000
02/09/2018,80.75 / 80.375,-,3,7100000
01/24/2018,81.25 / 81.05,-,3,40000000
01/09/2018,82.375 / 81.875,-,2,4500000
12/20/2017,80.8 / 80.65,-,3,40000000
12/12/2017,62.06 / 59.57,-,6,8160
11/28/2017,80.75 / 80.75,-,1,1000000
11/14/2017,81.75 / 81.75,-,1,2037536
11/02/2017,63.125 / 59.56,-,9,16320
10/26/2017,80.75 / 65.5,-,3,40004080
10/25/2017,65 / 64.564,-,3,8160
10/24/2017,82 / 82,-,1,1500000
10/19/2017,80.5 / 80,-,4,26963980
10/18/2017,77.875 / 65.875,-,8,4318168
10/13/2017,77.5 / 70.5,-,8,4960000
10/03/2017,67.625 / 67.375,-,4,112608
09/26/2017,69 / 68.75,-,3,6500000
09/18/2017,68 / 64.05,-,16,49002448
09/14/2017,61 / 60.5,-,7,19081600
09/12/2017,59 / 57,-,5,110384371
08/17/2017,55.875 / 55,-,3,59000000
06/15/2017,39.187 / 37.687,-,6,8160
04/11/2017,38.878 / 38.878,-,1,816
04/10/2017,38.878 / 38.878,-,1,816
02/27/2017,36.875 / 36.56,-,4,4896
02/15/2017,36 / 34.887,-,4,4896
01/31/2017,36 / 35.181,-,4,9792
01/13/2017,35.5 / 35.269,-,5,7344
01/12/2017,35 / 34.439,-,18,56304
01/05/2017,34.75 / 34.04,-,3,76704
01/04/2017,34.04 / 33.24,-,11,230112
12/21/2016,32.75 / 32.567,-,4,12240
12/13/2016,34 / 29.087,-,6,32640
12/07/2016,32 / 32,-,3,2448
12/06/2016,33.187 / 32.574,-,4,19584
11/22/2016,32.5 / 30,-,8,6120
11/18/2016,32 / 31.354,-,4,6120
11/14/2016,31 / 29,-,4,1632
08/22/2016,29.09 / 29.089,-,2,1632
08/17/2016,30.187 / 27.187,-,10,22440
08/11/2016,31.375 / 31.375,-,1,816
08/10/2016,31.198 / 31.198,-,3,2448
07/20/2016,32.687 / 32.613,-,4,7344
06/16/2016,41.5 / 41,11.088 / 10.973,3,3927960
06/15/2016,31.775 / 31,13.775 / 13.775,3,22848
05/19/2016,27.125 / 24.6,17.144 / 15.756,6,17952
04/14/2016,24.5 / 22.397,18.329 / 17.198,7,6528
04/13/2016,24.187 / 24.187,17.392 / 17.392,3,2448
04/12/2016,24 / 23.89,17.581 / 17.51,3,2448
03/16/2016,25.89 / 25.89,16.385 / 16.385,2,19176
02/19/2016,26.15 / 24.311,17.292 / 16.229,4,14688
02/17/2016,26.3 / 26.3,15.823 / 15.823,3,21216
02/10/2016,23.23 / 22.23,-,4,3264
01/22/2016,25.887 / 23.886,17.548 / 17.548,5,20808
12/23/2015,23.125 / 21.805,19.011 / 18.045,3,2448
12/11/2015,24.43 / 24.38,17.222 / 17.191,2,53856
11/23/2015,24.2 / 24.075,17.408 / 17.329,6,16320
11/10/2015,23.17 / 23.051,18.086 / 18.004,4,12240
11/06/2015,23.55 / 22.794,17.997 / 17.746,5,4896
11/05/2015,25.5 / 25.5,-,1,37536
11/03/2015,23.053 / 23.053,18.083 / 18.083,1,3264
11/02/2015,23.053 / 23.001,18.119 / 18.119,6,6528
10/28/2015,24.7 / 23.03,17.828 / 17.017,8,11832
10/27/2015,25.53 / 24.03,17.148 / 17.148,3,1224
10/20/2015,25.75 / 25.5,16.549 / 16.409,7,6528
10/16/2015,32.625 / 30.5,14.18 / 13.387,6,11424
10/09/2015,44 / 40,11.245 / 11.245,3,1224
