quarter_end,municipal_decline,pred_prob,pred_decline,RET_mean,RET_std,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_mean_excess,abs_max_excess,abs_es_q,abs_xi,abs_sigma,abs_threshold,upper_mean_excess,upper_max_excess,upper_es_q,upper_xi,upper_sigma,upper_threshold,lower_mean_excess,lower_max_excess,lower_es_q,lower_xi,lower_sigma,lower_threshold
1990-03-31,0,0.04676751583962805,0,0.0017078571428571427,0.015968343211832454,0.053254,0.011852142857142858,0.053254,1,1,1,0.014650670899345249,0.007874662213592933,0.013239774794802352,13.92102200867801,0.34713578812924445,14.745507331449602,0.0,,63,0.0,0.4126984126984127,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0097981,0.023040100000000004,0.0667920787123307,-1.4247577754744585,0.03282656162270908,0.0302139,0.010604949999999998,0.027449200000000003,0.06391402491328226,-0.11749894188777785,0.011912566561090266,0.0258048,0.007842800000000007,0.019818300000000007,0.04853948677358033,-0.3435526826343568,0.011008381134772975,0.020527699999999992
1990-06-30,0,0.05333167645450288,0,0.000915142857142857,0.011972195089182944,0.026738,0.009571587301587301,0.030303,0,0,0,0.0,0.0,0.0,13.838297146346784,0.3414687097931439,14.586729736393398,0.0,,63,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.00301055,0.0074532999999999995,0.03497793688301211,-1.6826227120666442,0.012541091859846318,0.0228497,0.003014400000000002,0.006326400000000003,0.030421327118153922,-1.3935775829160102,0.008816329220559853,0.0204116,0.005208750000000001,0.0126865,0.037551253367237,-1.3328291003886275,0.016908936382080325,0.0176165
1990-09-30,0,0.038380851520751554,0,-0.003865142857142857,0.01800818144698819,0.046823,0.014119047619047618,0.046875,0,1,2,0.0,0.010681178788489804,0.021218136482613986,13.892438666153952,0.4545294422169261,14.86675202472001,0.0,,63,0.0,0.49206349206349204,0.0,0.0,0.015873015873015872,0.031746031746031744,0.0089093,0.0130913,0.057054474160002845,-3.495907626128074,0.045765975505930465,0.0337837,0.0091977,0.0234932,0.05622041647051896,-0.255574177056038,0.0117991534514247,0.023329799999999998,0.0,0.0,0.0,3.733389472900531,0.00012546588616474535,0.033214
1990-12-31,0,0.03711265994914414,0,-0.0003200937499999999,0.01971742802677549,0.041237,0.015588781250000001,0.05,0,1,2,0.0,0.014225647529084338,0.019315557887557882,13.89594551868235,0.465066510623335,14.839651064718172,0.0,,64,0.0,0.421875,0.0,0.0,0.015625,0.03125,0.00613065,0.01311665,0.0571341172096864,-1.1924911170127368,0.015641488609965115,0.03688335,0.004735550000000003,0.009771550000000004,0.04690795955988629,-1.3829617082482917,0.013513679480233602,0.03146545,0.009930250000000009,0.01960025000000001,0.06185016326686574,-1.5290362127435564,0.029969492028826913,0.030399749999999993
1991-03-31,0,0.029511425061161996,0,0.0019618688524590164,0.02264710262592503,0.054475,0.01739944262295082,0.054475,2,6,1,0.030291478849014737,0.06125138846558537,0.011894963184458584,14.099947437432666,0.4797606052218777,15.453380618786277,0.0,,61,0.0,0.39344262295081966,0.0,0.03278688524590164,0.09836065573770492,0.01639344262295082,0.004041666666666668,0.006505000000000004,0.05839293174397932,-1.514429213400689,0.009851362033171487,0.04797,0.004041666666666668,0.006505000000000004,0.05839293174397932,-1.514429213400689,0.009851362033171487,0.04797,0.004901333333333334,0.011542999999999998,0.04951304236672301,-1.2117443388311528,0.013987164903127996,0.031646
1991-06-30,0,0.020617524913096805,0,0.0016507343749999999,0.024182359498125434,0.052448,0.018664359375,0.065292,4,5,3,0.048675032938970166,0.04672910856028187,0.023945216739227608,14.053574901669085,0.4248085868440562,15.311959151500076,0.0,,64,0.0,0.3125,0.0,0.0625,0.078125,0.046875,0.007274650000000006,0.013974900000000005,0.07500325115699061,-2.2776855023867597,0.031830427127304745,0.0513171,0.0024422000000000332,0.003991450000000035,0.05499763215680164,-1.7683455429749388,0.007058262817507383,0.048456549999999966,0.019111900000000057,0.03403715000000006,0.08712370219018191,-1.7886850634534128,0.06088174180752344,0.031254849999999945
1991-09-30,0,0.04024165569910853,0,-0.001046046875,0.016973534980313516,0.06383,0.011989578125,0.06383,1,1,1,0.009509069976900594,0.005057735372638191,0.008362860987593146,13.962778175276613,0.40766059233671403,15.269019777508957,0.0,,64,0.0,0.421875,0.0,0.015625,0.015625,0.015625,0.01107525000000004,0.028026500000000037,0.07650191952875807,0.4364509462171862,0.007141248260043565,0.03580349999999996,0.01286625000000002,0.037231500000000015,0.07865250792897352,0.4792389033798444,0.0077189854837532035,0.02659849999999998,0.011660250000000016,0.02758450000000002,0.06482953070811638,-1.162647307787156,0.03207104466165483,0.022415499999999984
1991-12-31,0,0.03767934695372281,0,-0.0035900625,0.02274155190072073,0.059091,0.0179991875,0.066667,2,2,4,0.019956718294871667,0.015311061872418718,0.0396588374651856,14.178991530674184,0.4585155814258669,15.254729619504937,0.0,,64,0.0,0.21875,0.0,0.03125,0.03125,0.0625,0.009246900000000039,0.020263400000000042,0.07743287258275033,-1.133544775369324,0.02296947120121881,0.04640359999999996,0.012302300000000025,0.028114050000000022,0.07617051167036212,-1.5478229500991385,0.04351557181023473,0.030976949999999975,0.009682000000000048,0.027549000000000053,0.07718062220885588,0.38931891574179545,0.006420470209985247,0.03911799999999995
1992-03-31,0,0.044497998093014926,0,0.004262936507936508,0.02465910218512728,0.073593,0.01884573015873016,0.073593,2,6,1,0.014856748186248955,0.05528350697237134,0.009552526668125566,14.2756584441583,0.45698481345511405,15.332263062863474,0.0,,63,0.0,0.19047619047619047,0.0,0.031746031746031744,0.09523809523809523,0.015873015873015872,0.0,0.0,0.0,1.2373843240478575,0.0036071344525787728,0.048275599999999995,0.01280620000000001,0.025846200000000014,0.09000466846142549,-1.7395318881837278,0.044960289088374294,0.04774679999999999,0.0,0.0,0.0,2.414648883075266,0.00016261767481876585,0.033091199999999994
1992-06-30,0,0.03367013216455343,0,0.003298603174603175,0.021609227927677388,0.059561,0.015570095238095239,0.064897,3,4,2,0.034811590393163235,0.035997400342169375,0.012103217621446496,14.436877638360091,0.5378178283669638,16.644196078646402,0.0,,63,0.0,0.07936507936507936,0.0,0.047619047619047616,0.06349206349206349,0.031746031746031744,0.006645549999999998,0.014237799999999995,0.0724465605704316,-1.1287814453913443,0.016071364463192878,0.0506592,0.007365750000000018,0.01572900000000002,0.06916984588200664,-1.5700333188924827,0.024695054072859893,0.04383199999999998,0.0191797,0.0411457,0.09370042613617308,-2.333721197079493,0.0960225922586737,0.023751299999999996
1992-09-30,0,0.10383726144733739,0,-0.004550453125,0.019327965402518247,0.037618,0.015425921875,0.047923,0,0,3,0.0,0.0,0.03431333961743527,14.477981020002666,0.4542581859043781,15.593661347734708,0.0,,64,0.0,0.0625,0.0,0.0,0.0,0.046875,0.004452200000000003,0.010371450000000004,0.05341784256397378,-1.1267756603454073,0.011686297422489382,0.037551549999999996,0.0048696000000000425,0.0076118500000000415,0.0420223257043247,-1.3731231000379305,0.010452007069023779,0.030006149999999957,0.005607350000000014,0.011807100000000015,0.05566185781574581,-1.90226084516267,0.02246018402492019,0.036115899999999986
