quarter_end,municipal_decline,pred_prob,pred_decline,RET_mean,RET_std,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_mean_excess,abs_max_excess,abs_var,abs_es_q,upper_mean_excess,upper_max_excess,upper_var,upper_es_q,lower_mean_excess,lower_max_excess,lower_var,lower_es_q
1990-03-31,0,0.07138229341762652,0,0.0017078571428571427,0.015968343211832454,0.053254,0.011852142857142858,0.053254,1,1,1,0.014650670899345249,0.007874662213592933,0.013239774794802352,13.92102200867801,0.34713578812924445,14.745507331449602,0.0,0.0,63,0.0,0.4126984126984127,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0017913999999999916,0.0017913999999999916,0.4532066626538327,0.08603881204433356,0.013605999999999965,0.013605999999999965,0.2854570960744917,0.12439610012186864,0.003461800000000001,0.003461800000000001,0.2926245388109647,0.1419844661638972
1990-06-30,0,0.07416181589667586,0,0.000915142857142857,0.011972195089182944,0.026738,0.009571587301587301,0.030303,0,0,0,0.0,0.0,0.0,13.838297146346784,0.3414687097931439,14.586729736393398,0.0,0.0,63,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.4532066626538327,0.08603881204433356,0.0,0.0,0.2854570960744917,0.12439610012186864,0.0,0.0,0.2926245388109647,0.1419844661638972
1990-09-30,0,0.0624948166091215,0,-0.003865142857142857,0.01800818144698819,0.046823,0.014119047619047618,0.046875,0,1,2,0.0,0.010681178788489804,0.021218136482613986,13.892438666153952,0.4545294422169261,14.86675202472001,0.0,0.0,63,0.0,0.49206349206349204,0.0,0.0,0.015873015873015872,0.031746031746031744,0.0,0.0,0.4532066626538327,0.08603881204433356,0.007174999999999959,0.007174999999999959,0.2854570960744917,0.12439610012186864,0.008167300000000002,0.009990800000000001,0.2926245388109647,0.1419844661638972
1990-12-31,0,0.061350936540586584,0,-0.0003200937499999999,0.01971742802677549,0.041237,0.015588781250000001,0.05,0,1,2,0.0,0.014225647529084338,0.019315557887557882,13.89594551868235,0.465066510623335,14.839651064718172,0.0,0.0,64,0.0,0.421875,0.0,0.0,0.015625,0.03125,0.0,0.0,0.4532066626538327,0.08603881204433356,0.0015889999999999654,0.0015889999999999654,0.2854570960744917,0.12439610012186864,0.010075300000000002,0.013115800000000004,0.2926245388109647,0.1419844661638972
1991-03-31,0,0.06625383364740635,0,0.0019618688524590164,0.02264710262592503,0.054475,0.01739944262295082,0.054475,2,6,1,0.030291478849014737,0.06125138846558537,0.011894963184458584,14.099947437432666,0.4797606052218777,15.453380618786277,0.0,0.0,61,0.0,0.39344262295081966,0.0,0.03278688524590164,0.09836065573770492,0.01639344262295082,0.0018163999999999889,0.0030123999999999915,0.4532066626538327,0.08603881204433356,0.009229833333333297,0.014826999999999965,0.2854570960744917,0.12439610012186864,0.006304799999999999,0.006304799999999999,0.2926245388109647,0.1419844661638972
1991-06-30,0,0.04634868035688101,0,0.0016507343749999999,0.024182359498125434,0.052448,0.018664359375,0.065292,4,5,3,0.048675032938970166,0.04672910856028187,0.023945216739227608,14.053574901669085,0.4248085868440562,15.311959151500076,0.0,0.0,64,0.0,0.3125,0.0,0.0625,0.078125,0.046875,0.007129149999999992,0.013829399999999992,0.4532066626538327,0.08603881204433356,0.009884599999999962,0.012799999999999964,0.2854570960744917,0.12439610012186864,0.019378133333333335,0.028407800000000004,0.2926245388109647,0.1419844661638972
1991-09-30,0,0.03521927219331596,0,-0.001046046875,0.016973534980313516,0.06383,0.011989578125,0.06383,1,1,1,0.009509069976900594,0.005057735372638191,0.008362860987593146,13.962778175276613,0.40766059233671403,15.269019777508957,0.0,0.0,64,0.0,0.421875,0.0,0.015625,0.015625,0.015625,0.012367399999999987,0.012367399999999987,0.4532066626538327,0.08603881204433356,0.02418199999999996,0.02418199999999996,0.2854570960744917,0.12439610012186864,0.013115800000000004,0.013115800000000004,0.2926245388109647,0.1419844661638972
1991-12-31,0,0.04462728249681362,0,-0.0035900625,0.02274155190072073,0.059091,0.0179991875,0.066667,2,2,4,0.019956718294871667,0.015311061872418718,0.0396588374651856,14.178991530674184,0.4585155814258669,15.254729619504937,0.0,0.0,64,0.0,0.21875,0.0,0.03125,0.03125,0.0625,0.01141639999999999,0.015204399999999993,0.4532066626538327,0.08603881204433356,0.014612499999999962,0.01944299999999996,0.2854570960744917,0.12439610012186864,0.0119158,0.029782800000000005,0.2926245388109647,0.1419844661638972
1992-03-31,0,0.03032553541710071,0,0.004262936507936508,0.02465910218512728,0.073593,0.01884573015873016,0.073593,2,6,1,0.014856748186248955,0.05528350697237134,0.009552526668125566,14.2756584441583,0.45698481345511405,15.332263062863474,0.0,0.0,63,0.0,0.19047619047619047,0.0,0.031746031746031744,0.09523809523809523,0.015873015873015872,0.020353399999999994,0.022130399999999995,0.4532066626538327,0.08603881204433356,0.014544166666666629,0.03394499999999997,0.2854570960744917,0.12439610012186864,0.010388800000000004,0.010388800000000004,0.2926245388109647,0.1419844661638972
1992-06-30,0,0.06512241552641057,0,0.003298603174603175,0.021609227927677388,0.059561,0.015570095238095239,0.064897,3,4,2,0.034811590393163235,0.035997400342169375,0.012103217621446496,14.436877638360091,0.5378178283669638,16.644196078646402,0.0,0.0,63,0.0,0.07936507936507936,0.0,0.047619047619047616,0.06349206349206349,0.031746031746031744,0.008015733333333322,0.013434399999999985,0.4532066626538327,0.08603881204433356,0.011549749999999963,0.019912999999999965,0.2854570960744917,0.12439610012186864,0.022552799999999998,0.028012799999999997,0.2926245388109647,0.1419844661638972
