quarter_end,RET_mean,RET_std,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,econ_index_mean,days_in_quarter,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_exceed_count,abs_mean_excess,abs_max_excess,abs_es_q,upper_exceed_count,upper_mean_excess,upper_max_excess,upper_es_q,lower_exceed_count,lower_mean_excess,lower_max_excess,lower_es_q,municipal_decline,pred_prob
1990-03-31,0.0016645555555555554,0.015480737808308939,0.011958079365079364,0.046647,0,2,0,0.0,0.024777858895126386,0.0,1.415873015873016,63,0.0,0.031746031746031744,0.0,0,0.0,0.0,0.165028275707984,2,0.004595300000000021,0.007687800000000022,0.15664382614111674,0,0.0,0.0,0.13299501017398394,0,0.13858767767338376
1990-06-30,-0.000901968253968254,0.011027447667683217,0.008740507936507937,0.025352,0,0,0,0.0,0.0,0.0,1.656984126984127,63,0.0,0.0,0.0,0,0.0,0.0,0.165028275707984,0,0.0,0.0,0.15664382614111674,0,0.0,0.0,0.13299501017398394,0,0.6528130656215723
1990-09-30,-0.005099238095238095,0.016550445228115405,0.013756444444444444,0.037736,0,0,0,0.0,0.0,0.0,-0.8173015873015873,63,0.0,0.0,0.0,0,0.0,0.0,0.165028275707984,0,0.0,0.0,0.15664382614111674,0,0.0,0.0,0.13299501017398394,0,0.384156531002887
1990-12-31,-0.001677890625,0.02221092030004945,0.016062984375,0.067511,3,2,5,0.030198929164796915,0.028755101821318574,0.03497116043334387,-1.73890625,64,0.046875,0.03125,0.078125,3,0.00930920000000001,0.01840520000000001,0.165028275707984,2,0.001412800000000023,0.002136800000000022,0.15664382614111674,5,0.0155222,0.0316356,0.13299501017398394,0,0.058957326699977976
1991-03-31,0.0038993278688524593,0.021906316665687476,0.017096803278688524,0.069672,1,4,2,0.0059941471419362674,0.04295877135002802,0.024859491070248454,2.6396721311475413,61,0.01639344262295082,0.06557377049180328,0.03278688524590164,1,0.020566200000000007,0.020566200000000007,0.165028275707984,4,0.010938050000000022,0.03071280000000002,0.15664382614111674,2,0.004146599999999997,0.006432599999999997,0.13299501017398394,0,0.0026180759156434396
1991-06-30,0.002027734375,0.019038967672629588,0.015103703125,0.049822,1,2,1,0.014986207656514528,0.02037261412485814,0.014504168562993596,1.4457777777777778,64,0.015625,0.03125,0.015625,1,0.0007162000000000071,0.0007162000000000071,0.165028275707984,2,0.007849800000000021,0.01086280000000002,0.15664382614111674,1,0.0010246000000000005,0.0010246000000000005,0.13299501017398394,0,0.044977368467523364
1991-09-30,-0.002499140625,0.01795679643969759,0.013428234375,0.062241,2,2,1,0.019258154542926408,0.011514819767451789,0.01548290183338177,0.0,64,0.03125,0.03125,0.015625,2,0.009440700000000007,0.013135200000000007,0.165028275707984,2,0.01958730000000002,0.02328180000000002,0.15664382614111674,1,0.00012459999999999555,0.00012459999999999555,0.13299501017398394,0,0.05060109310421753
1991-12-31,-0.0005549062500000002,0.02165716035682495,0.0152248125,0.10396,1,1,2,0.0018158196070768974,0.0011478187169064605,0.025408452299837674,0.0,64,0.015625,0.015625,0.03125,1,0.054854200000000006,0.054854200000000006,0.165028275707984,1,0.06500080000000003,0.06500080000000003,0.15664382614111674,2,0.0029140999999999993,0.003425600000000001,0.13299501017398394,0,0.019217045991334204
1992-03-31,0.005384126984126984,0.022436963008574288,0.01809520634920635,0.07377,3,3,1,0.033109286479569115,0.02305066778958836,0.0066023129723244995,0.0,63,0.047619047619047616,0.047619047619047616,0.015873015873015872,3,0.009691200000000011,0.02466420000000001,0.165028275707984,3,0.017667133333333356,0.034810800000000024,0.15664382614111674,1,0.0135546,0.0135546,0.13299501017398394,0,0.02912388028066815
1992-06-30,0.003126111111111111,0.01704260651550384,0.013429444444444445,0.04507,0,2,1,0.0,0.023902316300635086,0.008798528256888314,0.0,63,0.0,0.031746031746031744,0.015873015873015872,0,0.0,0.0,0.165028275707984,2,0.004943300000000022,0.00611080000000002,0.15664382614111674,1,0.008743599999999997,0.008743599999999997,0.13299501017398394,0,0.31679775046367364
1992-09-30,-0.0019275625,0.0232158408794957,0.01780371875,0.065217,4,2,5,0.04618852535234831,0.019126685000922957,0.037624773204777986,0.0,64,0.0625,0.03125,0.078125,4,0.006530450000000007,0.016111200000000006,0.165028275707984,2,0.013535800000000021,0.02625780000000002,0.15664382614111674,5,0.012281799999999997,0.019842599999999995,0.13299501017398394,0,0.010381625106099142
1992-12-31,0.0016597343749999998,0.021219815288188334,0.016590984375,0.07309,2,1,2,0.018701061572483538,0.007931011369364182,0.011127205912680188,0.0,64,0.03125,0.015625,0.03125,2,0.01312420000000001,0.02398420000000001,0.165028275707984,1,0.01241080000000002,0.01241080000000002,0.15664382614111674,2,0.0226131,0.0372146,0.13299501017398394,0,0.23954957017084852
1993-03-31,0.003408064516129032,0.01790791193022479,0.013735548387096775,0.058974,2,2,1,0.02506491781161993,0.01461292914950336,0.011974820550407104,0.0,62,0.03225806451612903,0.03225806451612903,0.016129032258064516,2,0.005250200000000007,0.009868200000000008,0.165028275707984,2,0.01539680000000002,0.02001480000000002,0.15664382614111674,1,0.004231599999999995,0.004231599999999995,0.13299501017398394,0,0.13193545520512723
1993-06-30,0.0003425396825396826,0.017062573250534386,0.013387777777777778,0.044811,0,1,0,0.0,0.011335951169930159,0.0,0.0,63,0.0,0.015873015873015872,0.0,0,0.0,0.0,0.165028275707984,1,0.005851800000000018,0.005851800000000018,0.15664382614111674,0,0.0,0.0,0.13299501017398394,0,0.28192057737141824
1993-09-30,0.0011580937500000003,0.01825917287258849,0.0150128125,0.04119,0,1,1,0.0,0.013688709875713443,0.013070622942191095,0.0,64,0.0,0.015625,0.015625,0,0.0,0.0,0.165028275707984,1,0.002230800000000019,0.002230800000000019,0.15664382614111674,1,0.0024935999999999986,0.0024935999999999986,0.13299501017398394,0,0.24048995622694025
1993-12-31,0.0026321093750000003,0.014706709887599126,0.011112640625,0.041408,0,2,0,0.0,0.027582899616810548,0.0,0.0,64,0.0,0.03125,0.0,0,0.0,0.0,0.165028275707984,2,0.0021068000000000232,0.002448800000000022,0.15664382614111674,0,0.0,0.0,0.13299501017398394,0,0.300526264920527
1994-03-31,-0.001253730158730159,0.01632584178060556,0.013235444444444446,0.040619,0,1,1,0.0,0.0143779499888118,0.01517043490502676,0.0,63,0.0,0.015873015873015872,0.015873015873015872,0,0.0,0.0,0.165028275707984,1,0.0016598000000000238,0.0016598000000000238,0.15664382614111674,1,0.0006205999999999989,0.0006205999999999989,0.13299501017398394,0,0.25037803395812086
