quarter_end,RET_mean,RET_std,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_mean_excess,abs_max_excess,abs_es_q,abs_xi,abs_sigma,abs_threshold,upper_mean_excess,upper_max_excess,upper_es_q,upper_xi,upper_sigma,upper_threshold,lower_mean_excess,lower_max_excess,lower_es_q,lower_xi,lower_sigma,lower_threshold,municipal_decline,pred_prob,pred_decline
1997-12-31,-0.00029931250000000015,0.01842281397587465,0.045764,0.01446184375,0.059688,1,2,1,0.011079318179478527,0.022703616302427152,0.005744017236959223,14.600908888863268,0.3895896846999225,15.360751437613684,0.005983954838011987,0.0343980343980344,64,0.03125,0.015625,0.0,0.015625,0.03125,0.015625,0.014498300000000009,0.02880805000000001,0.07757250264134816,-1.6372431092343818,0.04716578135297955,0.03087994999999999,0.011742650000000007,0.021974150000000008,0.058597816980465664,-1.4040863667699808,0.030853604436358584,0.02378984999999999,0.0,0.0,0.0,1.4409875026617178,0.0016190459342949794,0.0276626,0,0.08376536318360085,0
1991-09-30,-0.001046046875,0.016973534980313516,0.06383,0.011989578125,0.06383,1,1,1,0.009509069976900594,0.005057735372638191,0.008362860987593146,13.962778175276613,0.40766059233671403,15.269019777508957,0.0,,64,0.0,0.421875,0.0,0.015625,0.015625,0.015625,0.01107525000000004,0.028026500000000037,0.07650191952875807,0.4364509462171862,0.007141248260043565,0.03580349999999996,0.01286625000000002,0.037231500000000015,0.07865250792897352,0.4792389033798444,0.0077189854837532035,0.02659849999999998,0.011660250000000016,0.02758450000000002,0.06482953070811638,-1.162647307787156,0.03207104466165483,0.022415499999999984,0,0.2762396009160941,0
2001-09-30,-0.006290389830508474,0.028839377029486277,0.074037,0.019382118644067796,0.135324,4,3,5,0.03317995815933465,0.031994187780782044,0.034845895254687426,14.726628104753557,0.46846944311875577,15.93518203893425,0.004281210091971785,0.013392857142857298,59,0.0,0.01694915254237288,0.0,0.06779661016949153,0.05084745762711865,0.0847457627118644,0.031688233333333364,0.07663190000000003,0.16732441311049168,0.14105727803616636,0.027486521941092877,0.058692099999999976,0.024810266666666757,0.045572600000000095,0.10663469066464015,-2.5123636568159364,0.1144949439866102,0.02846439999999991,0.03472650000000005,0.08489950000000004,0.1703565989990301,0.13773925861121203,0.030207234785679833,0.05042449999999995,0,0.0661562197493004,0
2008-12-31,-0.01005425,0.11740903959073616,0.351124,0.08403325,0.351124,34,16,25,0.1506707414827485,0.05779921810992624,0.09633256907439322,17.323023707519685,0.554250118803953,18.505988346175048,0.004421232000817207,0.017964071856287442,64,0.015625,0.0,0.71875,0.53125,0.25,0.390625,0.07675755000000001,0.12215329999999999,0.435744785254651,-2.2545994007805463,0.2754067569833663,0.2289707,0.07631675000000021,0.1480605000000002,0.4419493419569207,-1.5868802509212727,0.23495428339152946,0.20306349999999979,0.06746805,0.14885905,0.39556342917861276,-1.3100905652933132,0.1950188369635256,0.16228395,0,0.0011370440704639388,0
1992-03-31,0.004262936507936508,0.02465910218512728,0.073593,0.01884573015873016,0.073593,2,6,1,0.014856748186248955,0.05528350697237134,0.009552526668125566,14.2756584441583,0.45698481345511405,15.332263062863474,0.0,,63,0.0,0.19047619047619047,0.0,0.031746031746031744,0.09523809523809523,0.015873015873015872,0.0,0.0,0.0,1.2373843240478575,0.0036071344525787728,0.048275599999999995,0.01280620000000001,0.025846200000000014,0.09000466846142549,-1.7395318881837278,0.044960289088374294,0.04774679999999999,0.0,0.0,0.0,2.414648883075266,0.00016261767481876585,0.033091199999999994,0,0.2646980228696237,0
1993-12-31,0.004480375,0.016581919789959033,0.051414,0.0130593125,0.051414,0,2,0,0.0,0.019777539831622032,0.0,14.588287464003267,0.5167498369082815,15.533749420967,0.005490102693067412,0.01455604075691412,64,0.0,0.0625,0.0,0.0,0.03125,0.0,0.008225700000000018,0.01883195000000002,0.06612159231667258,0.7276156922524009,0.0040061173518107715,0.03258204999999998,0.00850290000000003,0.019109150000000033,0.06356869104007085,-1.7477550892319285,0.033398114163396365,0.03230484999999997,0.0017538000000000284,0.003446300000000027,0.03188226538775988,-1.37834208437036,0.004750180325365609,0.02643869999999997,0,0.07310233033128087,0
2009-03-31,-0.002874672131147539,0.10262428845514128,0.254237,0.07487483606557377,0.281481,33,18,22,0.2001252695719445,0.06287170789465206,0.11844247242115848,16.537685402170435,0.5038205315481533,18.03849751235078,0.004913491085653419,0.021857923497267777,61,0.03278688524590164,0.0,0.22950819672131148,0.5409836065573771,0.29508196721311475,0.36065573770491804,0.015581333333333308,0.03377499999999997,0.30247080182982317,-1.6417267492016483,0.05544932095428563,0.247706,0.06604099999999999,0.09561599999999998,0.3231218379971905,-2.5769488804845313,0.2463975441564089,0.158621,0.09747333333333334,0.126936,0.36646051424755394,-2.02542021152474,0.2570987399701044,0.154545,0,0.001774548142076157,0
1991-03-31,0.0019618688524590164,0.02264710262592503,0.054475,0.01739944262295082,0.054475,2,6,1,0.030291478849014737,0.06125138846558537,0.011894963184458584,14.099947437432666,0.4797606052218777,15.453380618786277,0.0,,61,0.0,0.39344262295081966,0.0,0.03278688524590164,0.09836065573770492,0.01639344262295082,0.004041666666666668,0.006505000000000004,0.05839293174397932,-1.514429213400689,0.009851362033171487,0.04797,0.004041666666666668,0.006505000000000004,0.05839293174397932,-1.514429213400689,0.009851362033171487,0.04797,0.004901333333333334,0.011542999999999998,0.04951304236672301,-1.2117443388311528,0.013987164903127996,0.031646,0,0.20612991326656854,0
1997-03-31,0.00014680327868852453,0.015340553908751876,0.049327,0.012248540983606556,0.049327,0,1,0,0.0,0.009749202944017116,0.0,14.87870883167641,0.38201799009064963,15.784453545734511,0.004854391259414661,0.013958125623130608,61,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.010042666666666668,0.021127000000000003,0.06182805328473011,-1.449238407953575,0.030618059844835187,0.0282,0.012633,0.025569,0.06590501998862372,-1.8438501662385547,0.047145404900553606,0.023758,0.006461999999999999,0.014018,0.04369979406843838,-2.4415151690171637,0.034225159639282604,0.019737,0,0.1822623687657306,0
2014-12-31,0.0016917656250000001,0.017901713299882237,0.042407,0.013906890625,0.058667,1,1,1,0.011526422485379967,0.01330764228836211,0.005960126696573796,16.411910247050358,0.41092887223082414,17.25396293998033,0.00031364934619717644,0.0003367570298029301,64,0.0,0.0,0.125,0.015625,0.015625,0.015625,0.0,0.0,0.0,1.0537251859967247,0.0024853198507708172,0.035383499999999984,0.008723950000000001,0.0166752,0.05301771449276123,-1.7496479264557423,0.0291757291032348,0.0257318,0.0,0.0,0.0,1.1416132761849718,0.0028307284521971636,0.027639449999999986,1,0.7637494078497812,1
