quarter_end,RET_mean,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,upper_exceed_ratio,abs_mean_excess,abs_max_excess,abs_var,abs_es_q,upper_mean_excess,upper_max_excess,upper_var,upper_es_q,lower_mean_excess,lower_max_excess,lower_var,lower_es_q,municipal_decline,pred_prob
1991-12-31,-0.0005549062500000002,0.10396,0.0152248125,0.10396,1,1,2,0.0011478187169064605,0.025408452299837674,13.911942108695083,0.49277812350362943,14.976315180122924,0.0,,64,0.0,0.296875,0.0,0.015625,0.054854200000000006,0.054854200000000006,0.24566677898084371,0.165028275707984,0.06500080000000003,0.06500080000000003,0.20080408553342113,0.15664382614111674,0.0029140999999999993,0.003425600000000001,0.1644907268046905,0.13299501017398394,0,0.022879571022000396
1992-03-31,0.005384126984126984,0.07377,0.01809520634920635,0.07377,3,3,1,0.02305066778958836,0.0066023129723244995,14.267812045925764,0.4510894437742061,15.490736398202278,0.0,,63,0.0,0.06349206349206349,0.0,0.047619047619047616,0.009691200000000011,0.02466420000000001,0.24566677898084371,0.165028275707984,0.017667133333333356,0.034810800000000024,0.20080408553342113,0.15664382614111674,0.0135546,0.0135546,0.1644907268046905,0.13299501017398394,0,0.01638100335694335
1992-06-30,0.003126111111111111,0.04507,0.013429444444444445,0.04507,0,2,1,0.023902316300635086,0.008798528256888314,14.201992543467355,0.37092102632229024,15.213536089044236,0.0,,63,0.0,0.031746031746031744,0.0,0.031746031746031744,0.0,0.0,0.24566677898084371,0.165028275707984,0.004943300000000022,0.00611080000000002,0.20080408553342113,0.15664382614111674,0.008743599999999997,0.008743599999999997,0.1644907268046905,0.13299501017398394,0,0.03712842479832039
1992-09-30,-0.0019275625,0.065217,0.01780371875,0.065217,4,2,5,0.019126685000922957,0.037624773204777986,14.186031980628943,0.3722455223515296,15.094637494170824,0.0,,64,0.0,0.03125,0.0,0.03125,0.006530450000000007,0.016111200000000006,0.24566677898084371,0.165028275707984,0.013535800000000021,0.02625780000000002,0.20080408553342113,0.15664382614111674,0.012281799999999997,0.019842599999999995,0.1644907268046905,0.13299501017398394,0,0.03429504255313802
1992-12-31,0.0016597343749999998,0.05137,0.016590984375,0.07309,2,1,2,0.007931011369364182,0.011127205912680188,14.017081359588058,0.4375469851889576,15.509694132593635,0.005114238717028869,0.0058997050147492625,64,0.0,0.1875,0.0,0.015625,0.01312420000000001,0.02398420000000001,0.24566677898084371,0.165028275707984,0.01241080000000002,0.01241080000000002,0.20080408553342113,0.15664382614111674,0.0226131,0.0372146,0.1644907268046905,0.13299501017398394,0,0.051014162949699716
1993-03-31,0.003408064516129032,0.058974,0.013735548387096775,0.058974,2,2,1,0.01461292914950336,0.011974820550407104,14.17384045632859,0.4432623281780376,15.404644125262847,0.004760145587570509,0.010810810810810811,62,0.0,0.08064516129032258,0.0,0.03225806451612903,0.005250200000000007,0.009868200000000008,0.24566677898084371,0.165028275707984,0.01539680000000002,0.02001480000000002,0.20080408553342113,0.15664382614111674,0.004231599999999995,0.004231599999999995,0.1644907268046905,0.13299501017398394,0,0.02227050401379965
1993-06-30,0.0003425396825396826,0.044811,0.013387777777777778,0.044811,0,1,0,0.011335951169930159,0.0,14.166752069971073,0.4282000612970939,15.289426755538827,0.008771170084825277,0.039125431530494824,63,0.1746031746031746,0.07936507936507936,0.0,0.015873015873015872,0.0,0.0,0.24566677898084371,0.165028275707984,0.005851800000000018,0.005851800000000018,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.04271115265423436
1993-09-30,0.0011580937500000003,0.04119,0.0150128125,0.04119,0,1,1,0.013688709875713443,0.013070622942191095,14.055855391333436,0.4336536130584035,15.117472042616201,0.00878083579901817,0.04390243902439024,64,0.140625,0.1875,0.0,0.015625,0.0,0.0,0.24566677898084371,0.165028275707984,0.002230800000000019,0.002230800000000019,0.20080408553342113,0.15664382614111674,0.0024935999999999986,0.0024935999999999986,0.1644907268046905,0.13299501017398394,0,0.041067291492788406
1993-12-31,0.0026321093750000003,0.041408,0.011112640625,0.041408,0,2,0,0.027582899616810548,0.0,14.106443090731215,0.45322951924317606,15.441727314981724,0.005972333974368145,0.012658227848101266,64,0.0,0.09375,0.0,0.03125,0.0,0.0,0.24566677898084371,0.165028275707984,0.0021068000000000232,0.002448800000000022,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.023401640163835533
1994-03-31,-0.001253730158730159,0.040619,0.013235444444444446,0.040619,0,1,1,0.0143779499888118,0.01517043490502676,14.398262583602989,0.39900630828696226,15.439463022792586,0.004958460160778798,0.011650485436893204,63,0.0,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.24566677898084371,0.165028275707984,0.0016598000000000238,0.0016598000000000238,0.20080408553342113,0.15664382614111674,0.0006205999999999989,0.0006205999999999989,0.1644907268046905,0.13299501017398394,0,0.07232657536787525
1994-06-30,0.0003471612903225806,0.042827,0.013304,0.042827,0,2,1,0.027620456654154642,0.014745009246347434,14.352117813923272,0.39421537541212165,15.27042128636897,0.006112069569908913,0.016877637130801686,62,0.0,0.016129032258064516,0.0,0.03225806451612903,0.0,0.0,0.24566677898084371,0.165028275707984,0.0026788000000000194,0.0038678000000000184,0.20080408553342113,0.15664382614111674,0.0012375999999999984,0.0012375999999999984,0.1644907268046905,0.13299501017398394,0,0.029637353043482598
1994-09-30,-0.0006438125000000003,0.046948,0.01487609375,0.063492,1,1,3,0.009945961412086646,0.02633279081823434,14.802962680649712,0.463579321244554,15.82833154591345,0.009426873690421075,0.024096385542168676,64,0.046875,0.0,0.0,0.015625,0.014386200000000016,0.014386200000000016,0.24566677898084371,0.165028275707984,0.007988800000000018,0.007988800000000018,0.20080408553342113,0.15664382614111674,0.0124996,0.027616600000000005,0.1644907268046905,0.13299501017398394,0,0.0941143093956642
1994-12-31,0.0003266984126984126,0.039823,0.012425650793650793,0.039823,0,1,0,0.015071085787976913,0.0,14.695108790962351,0.42456485708089475,15.674804368874954,0.008774214220962655,0.02608695652173913,63,0.031746031746031744,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.24566677898084371,0.165028275707984,0.0008638000000000187,0.0008638000000000187,0.20080408553342113,0.15664382614111674,0.0,0.0,0.1644907268046905,0.13299501017398394,0,0.08302931539753776
